"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"140","Tyrell Shavers","WR","BUF","-","-","-","-","0","-","-","-","-","0","-","BYE","-","-","-","-","12.9","-","4.3","12.9"
"141","Rakim Jarrett","WR","TB","-","-","-","-","-","-","-","5.8","0.9","1","BYE","3","0","0","0","0.6","1.1","0","1.2","12.4"
"142","Xavier Hutchinson","WR","HOU","0.3","0","0","0","3.1","0","1.1","1.9","0","0.6","0","0","-","BYE","1.3","0.8","2.1","0.5","0.7","11.7"
"142","K.J. Osborn","WR","WAS","2.1","0.7","0","0.3","-","-","8.6","0","-","0","-","-","-","BYE","-","-","0","-","1.5","11.7"
"144","Tay Martin","WR","WAS","-","-","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","10.9","10.9","10.9"
"145","Jermaine Burton","WR","CIN","0","4.7","0","0","0","-","0","4.1","-","1.1","0.8","BYE","0","0","0","0","0","-","0.8","10.7"
"146","Ainias Smith","WR","PHI","-","-","-","-","BYE","-","-","0","0.2","0.6","0","0","-","-","-","-","0","9.9","1.5","10.7"
"147","Simi Fehoko","WR","ARI","0","0","1.7","0","-","4.4","4.5","0","0","-","BYE","-","-","-","-","-","-","-","1.3","10.6"
"148","Mason Tipton","WR","NO","0.6","0","1.1","0.6","0.2","1.5","4.5","1.4","0","0","-","BYE","-","-","-","0","-","-","0.9","9.9"
"149","Johnny Wilson","WR","PHI","0","0","0.9","0","BYE","0","0","0","0","6.5","0","0","-","0","0","0","0","2.4","0.6","9.8"
"150","Bryce Oliver","WR","TEN","-","-","-","-","BYE","-","-","-","0","2.3","3.3","0","0","1.6","0.8","0","0","1.5","1","9.5"
"151","Marquise Brown","WR","KC","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","4.5","4.6","-","4.6","9.1"
"151","DJ Chark Jr.","WR","ATL","-","-","-","-","-","-","-","-","-","0","-","BYE","0","0.9","1.6","0","0","6.6","1.3","9.1"
"153","Parris Campbell","WR","DAL","-","0","1.3","7.7","-","-","0","-","-","-","-","-","0","-","-","-","-","-","1.8","9"
"154","Xavier Gipson","WR","NYJ","0","0","1.6","0.6","0","0","0","6.1","0","0","1.7","BYE","-0.1","0","0","-2","0","0.5","0.5","8.4"
"155","Zay Jones","WR","ARI","-","-","-","-","-","-","0","0.3","0","0","BYE","0","0","1.3","0.3","0","1.9","4.6","0.8","8.4"
"156","Ryan Flournoy","WR","DAL","-","-","-","-","0","-0.8","BYE","0","1.3","0","1.9","0","-","0","-","4.1","0.3","1.4","0.7","8.2"
"156","Devin Duvernay","WR","CHI","0.3","0.4","-0.1","0","0.3","-","BYE","-","-","0","0","-","2.3","0.1","4.2","0.3","0.4","0","0.6","8.2"
"158","Devontez Walker","WR","BAL","-","-","-","-","-","-","0","-","0","-","-","0","-","BYE","8.1","0","0","0","1.2","8.1"
"159","Kristian Wilkerson","WR","BUF","-","-","-","-","-","7.8","0","-","-","-","-","BYE","-","-","-","-","-","-","3.9","7.8"
"160","Jalen Reagor","WR","LAC","-","-","-","-","BYE","-","2","3.5","0","-0.2","0","2","0","0.4","-","-","-","-","1","7.7"
"161","Chris Conley","WR","FA","0","0.4","0","0","-","0","0","0","-","-","0","0","0","0","0","0","1.3","5.9","0.5","7.6"
"162","Brandon Powell","WR","FA","0","1.6","1.3","0","0","-","0","0","0.9","0","1.3","0","0.8","0","1.2","0","0","0","0.4","7.1"
"163","Scotty Miller","WR","PIT","0","0","3.1","0","0","0","0","0","BYE","-","0","-","-","3.8","0","0","0","-","0.5","6.9"
"164","Ben Skowronek","WR","PIT","-","0","-","-","0","-","-","-","BYE","0","0.4","0","2.3","0","1.7","2.5","-","0","0.7","6.9"
"165","Jacob Cowing","WR","SF","0","0","0","0","-","0","5","0","BYE","-2","0","-","0","0","0","0","0","3.7","0.4","6.7"
"166","River Cracraft","WR","FA","-","-","-","-","-","-","-","-","-","0","0","0","0","-","0.6","0.6","1.6","3.8","0.8","6.6"
"167","Michael Woods II","WR","CLE","-","-","-","-","-","-","-","-","-","BYE","-","-","4.3","1.2","0.7","0","0.3","-","1.3","6.5"
"168","Jalin Hyatt","WR","NYG","0","0","0","0","0","0.6","0","-","0","3.9","BYE","0","0.8","0","0","0.9","0","0","0.4","6.2"
"169","Ihmir Smith-Marsette","WR","NYG","-","-","0","0","0","0","0","0","0","0","BYE","0","0","0","0","0","6","0","0.4","6"
"170","Laviska Shenault Jr.","WR","BUF","0.1","0.6","0.2","1.8","0","4","0","1","0","-","0","BYE","-2","-","0","-","-","-","0.5","5.7"
"171","Odell Beckham Jr.","WR","FA","-","-","-","-","0","-","0","0","1.5","1.7","1.3","0","0.9","0.1","-","-","-","-","0.6","5.5"
"172","DeAndre Carter","WR","CLE","0.6","3.2","2.2","0","0","0","-","0.7","0","0.5","0","-2","0","0","-","-","-","-","0.4","5.2"
"173","Nikko Remigio","WR","KC","-","-","-","-","-","BYE","-","-","-","-","-","-","-","0","0","0","0","4.8","1","4.8"
"174","Tyquan Thornton","WR","KC","2.7","0","0","0","0","BYE","-","2","-","-","-","-","-","-","-","-","-","-","0.8","4.7"
"175","Charlie Jones","WR","CIN","-1.5","0","0","0","0","0","6","0","-","-","-","BYE","-","-","-","-","-","-","0.6","4.5"
"176","Cody White","WR","SEA","-","-","-","-","-","-","-","-","4.4","BYE","0","0","0","-","-","-","-","-","1.1","4.4"
"176","Dee Eskridge","WR","MIA","-","-","3","0","-","BYE","-","0.6","0","-","-","-","-","0","-","-","0.8","-","0.7","4.4"
"178","Xavier Smith","WR","LAR","-","-","0","0","0.6","BYE","3","0","0","0","0","0","0","0","0","0","0","0.6","0.3","4.2"
"179","Tim Jones","WR","MIN","0","-","0","0","0","0","0","2","1","0","0","-","0","0","0","0","1.1","0","0.3","4.1"
"179","Terrace Marshall Jr.","WR","PHI","-","-","-","-","BYE","-","-","-","-","-","0","-","0","0.6","0.7","0","2.8","0","0.6","4.1"
"181","Dan Chisena","WR","CAR","-","-","-","-","-","-","-","-","-","-","BYE","0","0.6","0","-","2.3","0.8","0","0.6","3.7"
"182","Treylon Burks","WR","TEN","0.3","0","0.9","1.3","BYE","1","-","-","-","-","-","-","-","-","-","-","-","-","0.7","3.5"
