"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"73","Quintin Morris","TE","JAC","0","0","0","0","0","0","0","0","6.2","0","0","BYE","1.4","-","0","0","0","2","0.6","9.6"
"74","Chris Manhertz","TE","NYG","0","0","0","0","0","0","0","0","6.2","0","BYE","0","0","0","0","0","1.2","1.6","0.5","9"
"75","Devin Culp","TE","TB","-","-","-","-","-","-","0","0","-","-","BYE","-","-","-","-","0","5.2","3.6","1.8","8.8"
"76","Ben Sinnott","TE","WAS","0","0","0","0","0","0","6.6","0","1.2","0","0","0","0.3","BYE","0.7","0","0","0","0.5","8.8"
"77","Brevyn Spann-Ford","TE","DAL","0","0","0","0","2","0","BYE","0","0","0","4.2","2.4","0","0","0.2","0","0","0","0.5","8.8"
"78","Harrison Bryant","TE","PHI","0","0","0","2.1","0","2.4","1.9","-","2.2","-","-","-","-","0","0","0","0","0","0.7","8.6"
"79","Hayden Hurst","TE","FA","3.3","0.5","1.5","0.6","-","0","-","-","0.6","0","-","-","-","-","-","0.8","-","0","0.8","7.3"
"80","E.J. Jenkins","TE","PHI","0","0","-","-","BYE","-","-","-","0","-","-","-","-","0","0","0","0","6.7","0.8","6.7"
"80","Luke Farrell","TE","SF","0","1.3","0.1","0","1.7","0","0","0","0.5","1.6","0.3","-","0","0","0","0.8","0","0.4","0.4","6.7"
"82","John Bates","TE","WAS","0","0.5","0","0.9","0","0","0","2","0","0","1.7","-0.7","0","BYE","0.6","0","1.4","0","0.4","6.4"
"83","Hunter Long","TE","JAC","0","0","0","0","1.6","-","0.5","1.8","0.4","0","0","0","0","0","1.7","0","0","0","0.4","6"
"84","Durham Smythe","TE","CHI","0","0.8","0.3","0","0","-","0","0","0.4","0.6","0.3","0.8","0.8","0","0.8","0.5","0","0","0.3","5.3"
"85","Peyton Hendershot","TE","FA","-","0","-","-","-","-","-","-","0.9","0.6","1.1","0","-","-","-","-","0","2.5","0.7","5.1"
"86","Charlie Woerner","TE","ATL","0.4","0","0","0","0","0","0","1.3","0","0","-","BYE","0.5","1.1","0.7","0","0.6","0","0.3","4.6"
"87","Pharaoh Brown","TE","MIA","-","-","0.9","0.3","0.7","0","0","0","0","-","0","1.9","0","0.6","0","1.7","-1.6","0","0.3","4.5"
"87","Luke Musgrave","TE","GB","0","0.6","0.3","1.3","-","-","-","-","-","BYE","-","-","-","-","-","0","0.4","1.9","0.6","4.5"
"89","Ben Sims","TE","GB","0","0","0","0","0","3.8","0.2","0","0","BYE","0","0","0","0.2","0","0","0","0","0.2","4.2"
"90","Davis Allen","TE","LAR","0","-","-","-","0","BYE","0","0","0.5","3.4","0","0","0","0","0","0","0","0","0.3","3.9"
"91","Tucker Fisk","TE","LAC","-","-","-","-","BYE","-","-","-","-","0","0.6","0.7","0.1","0","0.7","1","0.8","0","0.4","3.9"
"92","Tip Reiman","TE","ARI","0","0","0","0","0.5","0","0.1","0","0","0","BYE","0","0.9","1.4","0.8","0","0","0","0.2","3.7"
"93","Gerald Everett","TE","FA","-0.1","0.1","0","0","2.2","0","-","0.3","0.5","0","0","0","0","0","0","0.6","0","0","0.2","3.6"
"94","Will Mallory","TE","IND","-","-","-","0","0.7","0","0.5","0","0","1","-","-","0.7","BYE","0","0","-","-","0.3","2.9"
"95","Greg Dulcich","TE","NYG","1.2","1.6","0","0","-","-","-","-","-","-","BYE","-","-","0","0","0","0","0","0.3","2.8"
"95","Cam Grandy","TE","CIN","-","-","-","-","-","-","-","-","-","0","0","BYE","0","0","1.2","0","0.7","0.9","0.4","2.8"
"97","Shane Zylstra","TE","DET","-","-","-","-","BYE","-","0","0","0","0","2.2","0","0","0","0","0","0","0","0.2","2.2"
"98","Dallin Holker","TE","FA","-","-","-","-","0","0","0","-","0","0","0","-","0","1","0","0","0","1.1","0.2","2.1"
"99","Jaheim Bell","TE","NE","-","0","-","-","-","0","0","0","0.1","0","0","0","0","BYE","0","0","0","1.9","0.2","2"
"100","Tanner Conner","TE","MIA","0","0","0.1","1.5","0","BYE","-","-","0","0","-","-","-","-","-","-","-","-","0.2","1.6"
"101","Josiah Deguara","TE","ARI","-","-","0.8","0","0.2","0","0","0","0","-","0","-","-","0","0","0.4","0","0","0.1","1.4"
"102","Jack Stoll","TE","NO","-","-","0","0.4","-","0","0","0.6","0","0","-","BYE","-","-","-","0","0","-","0.1","1"
"103","Eric Tomlinson","TE","FA","0","0","0","0","-","0","0.7","0","0.2","-","-","-","-","-","0","-","-","-","0.1","0.9"
"104","Brevin Jordan","TE","HOU","0.3","0.4","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","0.4","0.7"
"104","Ian Thomas","TE","LV","-","-","-","-","-","0","0.4","0","0","0.3","-","-","-","-","-","-","-","-","0.1","0.7"
"104","Geoff Swaim","TE","FA","-","-","0","0","0","0","0","0.7","0","-","0","-","-","-","-","-","-","-","0.1","0.7"
